window,variable,model,lead,wavenumber,spectral_retention,spectral_rmse
2020-06-01_2020-08-31,z500,HRES,5 days,11.5,0.9691820428504876,250465.20076509356
2020-06-01_2020-08-31,z500,HRES,5 days,12.5,0.9774193238978679,205534.74003669203
2020-06-01_2020-08-31,z500,HRES,5 days,13.5,0.9906904740349075,173591.93265051223
2020-06-01_2020-08-31,z500,HRES,5 days,14.5,0.9936090273971385,151080.03330341302
2020-06-01_2020-08-31,z500,HRES,5 days,15.5,0.9924848040684986,131190.88762370942
2020-06-01_2020-08-31,z500,HRES,5 days,16.5,0.9929018980870048,116109.92126737576
2020-06-01_2020-08-31,z500,HRES,5 days,17.5,0.9853423758941239,98360.01698813488
2020-06-01_2020-08-31,z500,HRES,5 days,18.5,0.9855773261662713,86637.46346413046
2020-06-01_2020-08-31,z500,HRES,5 days,19.5,0.9871050110206077,77216.89332755389
2020-06-01_2020-08-31,z500,HRES,5 days,20.5,0.9933316624959504,70324.8079831413
2020-06-01_2020-08-31,z500,HRES,5 days,21.5,0.9958792019526226,62203.20503383371
2020-06-01_2020-08-31,z500,HRES,5 days,22.5,0.9888600232761745,57411.12930071654
2020-06-01_2020-08-31,z500,HRES,5 days,23.5,0.9905815743310389,51929.176512464124
2020-06-01_2020-08-31,z500,HRES,5 days,24.5,0.9943056295308599,46451.81832454059
2020-06-01_2020-08-31,z500,HRES,5 days,25.5,0.9970545854187189,42034.665006782925
2020-06-01_2020-08-31,z500,HRES,5 days,26.5,1.0011051214967621,38394.14715401577
2020-06-01_2020-08-31,z500,HRES,5 days,27.5,1.000026959571889,35942.79918994432
2020-06-01_2020-08-31,z500,HRES,5 days,28.5,0.9952160076856155,33196.103973942154
2020-06-01_2020-08-31,z500,HRES,5 days,29.5,0.9921851097106804,30084.3097698374
