window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2022-06-01_2022-08-31,z500,HRES,5 days,2,BIAS,23,27.241296056003076,23.429568880117397,31.425210574339825,27.60681692477446,5.750210728461246
2022-06-01_2022-08-31,z500,HRES,5 days,3,BIAS,71,23.716411244987118,22.225755893550385,25.164480866694635,23.415197378867248,4.326211330002927
2022-06-01_2022-08-31,z500,HRES,7 days,0,BIAS,40,31.31802982586722,27.48046564544266,34.708898516280776,32.62864836411275,6.821064068585759
2022-06-01_2022-08-31,z500,HRES,7 days,1,BIAS,40,35.20266083092482,31.216405345081558,39.470077946895415,34.500983268116144,8.233691038157477
2022-06-01_2022-08-31,z500,HRES,7 days,2,BIAS,19,30.503913911066164,24.620014268380913,39.66199315944608,30.22102653432025,9.769782679361688
2022-06-01_2022-08-31,z500,HRES,7 days,3,BIAS,71,28.408936282169453,25.642317728698,31.095926639467535,28.261111023554374,7.589565161816824
2022-06-01_2022-08-31,t850,HRES,1 days,0,RMSE,40,0.8322787629898736,0.8112652350934053,0.8562656765723894,0.8300677576176715,0.04190298048863769
2022-06-01_2022-08-31,t850,HRES,1 days,1,RMSE,40,0.8129018146864189,0.798685119285152,0.8234429882128558,0.8169825043378833,0.02802884640448323
2022-06-01_2022-08-31,t850,HRES,1 days,2,RMSE,31,0.8087744342310689,0.7975819045513338,0.8216648667629151,0.8127620580106115,0.02811261604632702
2022-06-01_2022-08-31,t850,HRES,1 days,3,RMSE,71,0.8653727816318063,0.8420776539470541,0.8894885411078743,0.8615795403833767,0.06301535510058913
2022-06-01_2022-08-31,t850,HRES,3 days,0,RMSE,40,1.2505970198338638,1.2375948935415881,1.263513870090237,1.2533606631197896,0.03555239278677047
2022-06-01_2022-08-31,t850,HRES,3 days,1,RMSE,40,1.260493461784884,1.244330389590569,1.2806867961861617,1.2594166214178268,0.05245540082124958
2022-06-01_2022-08-31,t850,HRES,3 days,2,RMSE,27,1.2516935552907598,1.220039785316693,1.2821788342061284,1.2519791884057003,0.05107266011258806
2022-06-01_2022-08-31,t850,HRES,3 days,3,RMSE,71,1.2978354222762267,1.2762998037235809,1.3235255918408353,1.2966091771468684,0.06245193693155785
2022-06-01_2022-08-31,t850,HRES,5 days,0,RMSE,40,1.850387617494342,1.8135153062699851,1.8943284413298496,1.8604735539588209,0.08897037781390212
2022-06-01_2022-08-31,t850,HRES,5 days,1,RMSE,40,1.8870826721378804,1.848347903826856,1.9416998390064109,1.87642102525992,0.12346752603864668
2022-06-01_2022-08-31,t850,HRES,5 days,2,RMSE,23,1.8955678410662344,1.8276161781789817,1.9468044425730735,1.9250025327126716,0.12474966938360252
2022-06-01_2022-08-31,t850,HRES,5 days,3,RMSE,71,1.8816787914368214,1.8494629491345516,1.9135588122788558,1.8837730692274541,0.10004212120000415
2022-06-01_2022-08-31,t850,HRES,7 days,0,RMSE,40,2.568127172044465,2.5074621882404635,2.6440123492708323,2.5571127227153814,0.15005291359360984
2022-06-01_2022-08-31,t850,HRES,7 days,1,RMSE,40,2.5905355494330142,2.4819761539079126,2.717119790125738,2.5219565713211587,0.22971994447164562
2022-06-01_2022-08-31,t850,HRES,7 days,2,RMSE,19,2.619511455401407,2.536566899082006,2.6631997667790364,2.6225138188260364,0.13508377201580474
2022-06-01_2022-08-31,t850,HRES,7 days,3,RMSE,71,2.6592128744577326,2.5824155135109748,2.730419131796152,2.6438873814731774,0.18891558887929663
2022-06-01_2022-08-31,t850,HRES,1 days,0,ACC,40,0.962131462225608,0.9588550903570732,0.9649593166344745,0.9623334523202833,0.005159282025824366
2022-06-01_2022-08-31,t850,HRES,1 days,1,ACC,40,0.9670364360508721,0.9643763588467692,0.9691321136932994,0.9679307257769891,0.004187016344330419
2022-06-01_2022-08-31,t850,HRES,1 days,2,ACC,31,0.9749072163287821,0.9722694566316935,0.976563917878985,0.9753309455248291,0.003736898917206555
2022-06-01_2022-08-31,t850,HRES,1 days,3,ACC,71,0.962699374176073,0.9597529933136253,0.965330941265075,0.9642397427077862,0.006832421606213374
2022-06-01_2022-08-31,t850,HRES,3 days,0,ACC,40,0.9149054822949431,0.9103248850196144,0.9187817730142285,0.9145892913213464,0.008361034634518994
2022-06-01_2022-08-31,t850,HRES,3 days,1,ACC,40,0.9208272238029958,0.9139075201266784,0.9257381754531835,0.9221109088229527,0.011431558237704167
2022-06-01_2022-08-31,t850,HRES,3 days,2,ACC,27,0.9393619780870076,0.937240574872956,0.940595442245668,0.939285768038423,0.004137643891980356
2022-06-01_2022-08-31,t850,HRES,3 days,3,ACC,71,0.9165838922420548,0.9109476636779894,0.9212459240103098,0.916683041292382,0.012158291397249305
2022-06-01_2022-08-31,t850,HRES,5 days,0,ACC,40,0.8154517113223877,0.807885527528083,0.8223327690958769,0.8119369399881138,0.017724363683843634
2022-06-01_2022-08-31,t850,HRES,5 days,1,ACC,40,0.8234071975419328,0.8083664101499619,0.8366630864966422,0.8229936275307982,0.02787932181435461
2022-06-01_2022-08-31,t850,HRES,5 days,2,ACC,23,0.8609610513065743,0.856338848726666,0.8645370414660928,0.8630040773313569,0.014569267252861022
2022-06-01_2022-08-31,t850,HRES,5 days,3,ACC,71,0.8260518311607935,0.8170193905956232,0.8329692320036423,0.8239242213863835,0.021863247493469296
2022-06-01_2022-08-31,t850,HRES,7 days,0,ACC,40,0.6455526641545795,0.6227444177046257,0.6632502304705877,0.6519871427739028,0.04598723015658012
