bucket,season,variable,pair,metric,lead_h,n_windows,share_favorable,delta_mean,delta_ci_lo,delta_ci_hi
season,MAM,t850,NeuralGCM_minus_HRES,acc_mean,72.0,5,0.2,0.012650188261312367,0.012650188261312367,0.012650188261312367
season,MAM,t850,NeuralGCM_minus_HRES,acc_mean,120.0,5,0.2,0.02463259514288385,0.02463259514288385,0.02463259514288385
season,MAM,t850,NeuralGCM_minus_HRES,acc_mean,168.0,5,0.2,0.03841409300863796,0.03841409300863796,0.03841409300863796
season,MAM,t850,NeuralGCM_minus_HRES,rmse_mean,24.0,5,0.2,-0.17809685467687342,-0.17809685467687342,-0.17809685467687342
season,MAM,t850,NeuralGCM_minus_HRES,rmse_mean,72.0,5,0.2,-0.19547065592268908,-0.19547065592268908,-0.19547065592268908
season,MAM,t850,NeuralGCM_minus_HRES,rmse_mean,120.0,5,0.2,-0.23632603602768687,-0.23632603602768687,-0.23632603602768687
season,MAM,t850,NeuralGCM_minus_HRES,rmse_mean,168.0,5,0.2,-0.25525582171582384,-0.25525582171582384,-0.25525582171582384
season,MAM,u850,GraphCast_minus_HRES,acc_mean,24.0,5,0.2,0.010650998186065186,0.010650998186065186,0.010650998186065186
season,MAM,u850,GraphCast_minus_HRES,acc_mean,72.0,5,0.2,0.025784009721461998,0.025784009721461998,0.025784009721461998
season,MAM,u850,GraphCast_minus_HRES,acc_mean,120.0,5,0.2,0.050903897708033385,0.050903897708033385,0.050903897708033385
season,MAM,u850,GraphCast_minus_HRES,acc_mean,168.0,5,0.2,0.07567212491423969,0.07567212491423969,0.07567212491423969
season,MAM,u850,GraphCast_minus_HRES,rmse_mean,24.0,5,0.2,-0.30232353116528743,-0.30232353116528743,-0.30232353116528743
season,MAM,u850,GraphCast_minus_HRES,rmse_mean,72.0,5,0.2,-0.4015171277956018,-0.4015171277956018,-0.4015171277956018
season,MAM,u850,GraphCast_minus_HRES,rmse_mean,120.0,5,0.2,-0.5460515324235793,-0.5460515324235793,-0.5460515324235793
season,MAM,u850,GraphCast_minus_HRES,rmse_mean,168.0,5,0.2,-0.6738733508542714,-0.6738733508542714,-0.6738733508542714
season,MAM,u850,NeuralGCM_minus_HRES,acc_mean,24.0,5,0.2,0.009070760072519835,0.009070760072519835,0.009070760072519835
season,MAM,u850,NeuralGCM_minus_HRES,acc_mean,72.0,5,0.2,0.023610707251009222,0.023610707251009222,0.023610707251009222
season,MAM,u850,NeuralGCM_minus_HRES,acc_mean,120.0,5,0.2,0.0451066381762002,0.0451066381762002,0.0451066381762002
season,MAM,u850,NeuralGCM_minus_HRES,acc_mean,168.0,5,0.2,0.06597673883218125,0.06597673883218125,0.06597673883218125
