window,variable,model,lead,regime,metric,n,mean,ci_lo,ci_hi,median,std
2022-09-01_2022-11-30,z500,HRES,5 days,2,MAE,47,188.1668467432705,182.2538755792751,193.70947639297555,189.5781826165128,13.938038526780849
2022-09-01_2022-11-30,z500,HRES,5 days,3,MAE,35,178.77659616494066,168.19793623820888,191.18945120961044,172.50784335205356,21.25706638205551
2022-09-01_2022-11-30,z500,HRES,7 days,0,MAE,48,297.3698053028251,284.0019098124031,311.3145018642488,294.5041420833009,31.177714032051867
2022-09-01_2022-11-30,z500,HRES,7 days,1,MAE,42,303.2370442462264,287.76993620947104,317.0135317516924,300.7088274339767,31.762476128559825
2022-09-01_2022-11-30,z500,HRES,7 days,2,MAE,43,315.29983843686153,300.7175007662622,328.7807000422408,315.04437939109346,30.157081494961
2022-09-01_2022-11-30,z500,HRES,7 days,3,MAE,35,306.1367207798467,284.8753730152123,329.89827892239555,300.873929304874,45.26832538005684
2022-09-01_2022-11-30,z500,HRES,1 days,0,BIAS,48,9.351711653454204,8.531012509146505,10.495560345899206,9.19870346498174,2.249266686470123
2022-09-01_2022-11-30,z500,HRES,1 days,1,BIAS,42,13.75970715243075,12.88442844106153,14.640139940803351,13.784362366630145,2.0609167046391312
2022-09-01_2022-11-30,z500,HRES,1 days,2,BIAS,55,13.654691310878354,12.52628978102338,14.73377155747951,14.069844133460366,2.7232660621571223
2022-09-01_2022-11-30,z500,HRES,1 days,3,BIAS,35,7.203631912903057,5.57395236494739,8.35657448191578,6.987666990019466,3.1316611801589826
2022-09-01_2022-11-30,z500,HRES,3 days,0,BIAS,48,19.571044333332335,18.152164365979058,20.84483716480769,20.024282996103025,3.0772239958626417
2022-09-01_2022-11-30,z500,HRES,3 days,1,BIAS,42,25.220408177187,23.042232348895276,26.953343020099222,25.818663292237865,4.21818215577022
2022-09-01_2022-11-30,z500,HRES,3 days,2,BIAS,51,24.33724635706352,22.105125774119344,26.645817736406137,25.79749861866265,4.542196201877387
2022-09-01_2022-11-30,z500,HRES,3 days,3,BIAS,35,14.71036486872062,11.622680560569002,17.297622612638047,14.270858975077655,4.5142553858107295
2022-09-01_2022-11-30,z500,HRES,5 days,0,BIAS,48,26.23062682814492,24.813320554620343,27.834423222679295,26.33249869732734,3.562316047629416
2022-09-01_2022-11-30,z500,HRES,5 days,1,BIAS,42,30.598087488229204,28.06814837110045,33.067018365989604,31.426218178885634,5.415288418925068
2022-09-01_2022-11-30,z500,HRES,5 days,2,BIAS,47,31.795343925410197,28.32940364936316,35.544269740469495,32.92053493533107,6.98557967658464
2022-09-01_2022-11-30,z500,HRES,5 days,3,BIAS,35,20.761671707785258,18.045888274629796,23.42055986858495,21.3274173616651,4.879354957361304
2022-09-01_2022-11-30,z500,HRES,7 days,0,BIAS,48,29.115542937604726,27.182835311819378,31.06319639518611,30.15330993143248,5.186033327807696
2022-09-01_2022-11-30,z500,HRES,7 days,1,BIAS,42,34.10189953875359,30.36200853481385,38.2394247360728,34.42898582626215,7.723235899948796
2022-09-01_2022-11-30,z500,HRES,7 days,2,BIAS,43,34.92744292047998,31.139693666530306,39.721252639758376,34.74431064600212,9.26669793620509
